spontaneous_studio;spontaneous_telephone;planned_studio;ignore
spk3;spk9;spk18;spk4
spk2;spk10;spk19;
spk7;spk12;spk20;
spk5;spk13;spk22;
spk6;spk21;spk17;
spk8;;spk36;
spk11;;spk37;
spk15;;spk38;
spk14;;spk40;
spk16;;spk41;
spk23;;spk42;
spk24;;spk43;
spk26;;;
spk27;;;
spk28;;;
spk29;;;
spk31;;;
spk33;;;
spk25;;;
spk30;;;
spk32;;;
spk34;;;
spk35;;;
spk39;;;
